county,fips,state_id,state_name,population,ppercentage
Los Angeles County,6037,CA,California,10081570,0.03041663
Cook County,17031,IL,Illinois,5198275,0.01568347
Harris County,48201,TX,Texas,4646630,0.014019128
Maricopa County,4013,AZ,Arizona,4328810,0.013060249
San Diego County,6073,CA,California,3316073,0.010004768
Orange County,6059,CA,California,3168044,0.009558156
Miami-Dade County,12086,FL,Florida,2699428,0.008144317
Dallas County,48113,TX,Texas,2606868,0.007865059
Kings County,36047,NY,New York,2589974,0.007814088
Riverside County,6065,CA,California,2411439,0.007275439
Queens County,36081,NY,New York,2287388,0.00690117
King County,53033,WA,Washington,2195502,0.006623946
Clark County,32003,NV,Nevada,2182004,0.006583221
San Bernardino County,6071,CA,California,2149031,0.00648374
Tarrant County,48439,TX,Texas,2049770,0.006184264
Bexar County,48029,TX,Texas,1952843,0.005891831
Santa Clara County,6085,CA,California,1927470,0.005815279
Broward County,12011,FL,Florida,1926205,0.005811462
Wayne County,26163,MI,Michigan,1757299,0.005301864
Alameda County,6001,CA,California,1656754,0.004998514
New York County,36061,NY,New York,1631993,0.004923809
Middlesex County,25017,MA,Massachusetts,1600842,0.004829825
Philadelphia County,42101,PA,Pennsylvania,1579075,0.004764153
Sacramento County,6067,CA,California,1524553,0.004599657
Suffolk County,36103,NY,New York,1483832,0.0044768
Palm Beach County,12099,FL,Florida,1465027,0.004420064
Bronx County,36005,NY,New York,1435068,0.004329676
Hillsborough County,12057,FL,Florida,1422278,0.004291088
Nassau County,36059,NY,New York,1356509,0.004092659
Orange County,12095,FL,Florida,1349746,0.004072255
Franklin County,39049,OH,Ohio,1290360,0.003893084
Oakland County,26125,MI,Michigan,1253185,0.003780925
Cuyahoga County,39035,OH,Ohio,1247451,0.003763626
Hennepin County,27053,MN,Minnesota,1245837,0.003758756
Travis County,48453,TX,Texas,1226805,0.003701336
Allegheny County,42003,PA,Pennsylvania,1221744,0.003686066
Fairfax County,51059,VA,Virginia,1145862,0.003457126
Contra Costa County,6013,CA,California,1142251,0.003446232
Salt Lake County,49035,UT,Utah,1133646,0.00342027
Mecklenburg County,37119,NC,North Carolina,1074475,0.003241748
Wake County,37183,NC,North Carolina,1069079,0.003225468
Montgomery County,24031,MD,Maryland,1043530,0.003148385
Fulton County,13121,GA,Georgia,1036200,0.00312627
Pima County,4019,AZ,Arizona,1027207,0.003099138
St. Louis County,29189,MO,Missouri,996919,0.003007757
Honolulu County,15003,HI,Hawaii,984821,0.002971257
Fresno County,6019,CA,California,984521,0.002970352
Collin County,48085,TX,Texas,973977,0.00293854
